,Dataset,Method,Metric,Patient,Performance
287,V-23_24,MMSBM,Accuracy,102,0.6949152542372881
288,V-23_24,MMSBM,Recall,103,0.6222222222222222
289,V-23_24,MMSBM,Precision,103,0.7567567565522278
290,V-23_24,MMSBM,Accuracy,103,0.7457627118644068
291,V-23_24,MMSBM,Recall,100,0.6571428571428571
292,V-23_24,MMSBM,Precision,100,0.6764705880363322
293,V-23_24,MMSBM,Accuracy,100,0.7627118644067797
294,V-23_24,MMSBM,Recall,101,0.631578947368421
295,V-23_24,MMSBM,Precision,101,0.7826086954820416
296,V-23_24,MMSBM,Accuracy,101,0.6949152542372881
297,V-23_24,MMSBM,Recall,106,0.2692307692307692
298,V-23_24,MMSBM,Precision,106,0.46666666635555554
299,V-23_24,MMSBM,Accuracy,106,0.7542372881355931
300,V-23_24,MMSBM,Recall,107,0.7254901960784313
301,V-23_24,MMSBM,Precision,107,0.8043478259120983
302,V-23_24,MMSBM,Accuracy,107,0.7457627118644068
303,V-23_24,MMSBM,Recall,104,0.5151515151515151
304,V-23_24,MMSBM,Precision,104,0.679999999728
305,V-23_24,MMSBM,Accuracy,104,0.7711864406779662
306,V-23_24,MMSBM,Recall,105,0.4782608695652174
307,V-23_24,MMSBM,Precision,105,0.6470588233391004
308,V-23_24,MMSBM,Accuracy,105,0.6694915254237288
309,V-23_24,MMSBM,Recall,39,0.575
310,V-23_24,MMSBM,Precision,39,0.6764705880363322
311,V-23_24,MMSBM,Accuracy,39,0.7542372881355931
312,V-23_24,MMSBM,Recall,38,0.78
313,V-23_24,MMSBM,Precision,38,0.8478260867722117
314,V-23_24,MMSBM,Accuracy,38,0.8050847457627119
315,V-23_24,MMSBM,Recall,33,0.3448275862068966
316,V-23_24,MMSBM,Precision,33,0.5555555552469136
317,V-23_24,MMSBM,Accuracy,33,0.771186440677966
318,V-23_24,MMSBM,Recall,32,0.75
319,V-23_24,MMSBM,Precision,32,0.8780487802736466
320,V-23_24,MMSBM,Accuracy,32,0.8135593220338984
321,V-23_24,MMSBM,Recall,31,0.7454545454545455
322,V-23_24,MMSBM,Precision,31,0.8039215684698193
323,V-23_24,MMSBM,Accuracy,31,0.7033898305084746
324,V-23_24,MMSBM,Recall,30,0.8372093023255814
325,V-23_24,MMSBM,Precision,30,0.7999999998222223
326,V-23_24,MMSBM,Accuracy,30,0.7796610169491525
327,V-23_24,MMSBM,Recall,37,0.6818181818181818
328,V-23_24,MMSBM,Precision,37,0.7317073168947055
329,V-23_24,MMSBM,Accuracy,37,0.7372881355932204
330,V-23_24,MMSBM,Recall,36,0.6666666666666666
331,V-23_24,MMSBM,Precision,36,0.727272727107438
332,V-23_24,MMSBM,Accuracy,36,0.7203389830508474
333,V-23_24,MMSBM,Recall,35,0.5675675675675675
334,V-23_24,MMSBM,Precision,35,0.7777777774897119
335,V-23_24,MMSBM,Accuracy,35,0.8135593220338982
336,V-23_24,MMSBM,Recall,34,0.36
337,V-23_24,MMSBM,Precision,34,0.6923076917751478
338,V-23_24,MMSBM,Accuracy,34,0.8220338983050848
339,V-23_24,MMSBM,Recall,162,0.525
340,V-23_24,MMSBM,Precision,162,0.72413793078478
341,V-23_24,MMSBM,Accuracy,162,0.771186440677966
342,V-23_24,MMSBM,Recall,176,0.575
343,V-23_24,MMSBM,Precision,176,0.657142856955102
344,V-23_24,MMSBM,Accuracy,176,0.6694915254237289
345,V-23_24,MMSBM,Recall,60,0.5531914893617021
346,V-23_24,MMSBM,Precision,60,0.7222222220216049
347,V-23_24,MMSBM,Accuracy,60,0.7033898305084746
348,V-23_24,MMSBM,Recall,61,0.6909090909090909
349,V-23_24,MMSBM,Precision,61,0.759999999848
